_Start_
Successfully init Motor aansturing
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5665477
Encoder:  60 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5673549
Encoder:  60 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5681621
Encoder:  60 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5689694
Encoder:  63 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5697766
Encoder:  63 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5705839
Encoder:  63 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5713911
Encoder:  62 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5721983
Encoder:  62 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5730056
Encoder:  62 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5738128
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5746201
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5754273
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5762345
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5770418
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5778490
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5786563
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5794635
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5802707
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5810780
Encoder:  63 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5818852
Encoder:  63 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5826925
Encoder:  63 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5834997
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5843069
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5851142
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5859214
Encoder:  62 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5867287
Encoder:  62 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5875359
Encoder:  62 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5883431
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5891504
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5899576
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5907649
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5915721
Encoder:  60 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5923793
Encoder:  60 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5931866
Encoder:  60 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5939938
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5948011
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5956083
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5964155
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5972228
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5980300
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5988373
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5996445
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6004517
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6012590
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6020662
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6028735
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6036807
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6044879
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6052952
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6061024
Encoder:  59 | 0        --       Error: 71 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6069097
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6077169
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6085241
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6093314
Encoder:  62 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6101386
Encoder:  62 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6109459
Encoder:  62 | 0        --       Error: 69 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6117531
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6125603
Encoder:  61 | 0        --       Error: 70 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 6133676
Encoder:  61 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6141748
Encoder:  58 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6149254
Encoder:  58 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6156678
Encoder:  58 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6164143
Encoder:  58 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6171607
Encoder:  58 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6179072
Encoder:  58 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6186537
Encoder:  58 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6194002
Encoder:  58 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6201467
Encoder:  58 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6208931
Encoder:  58 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6216396
Encoder:  31 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6223861
Encoder:  31 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6231326
Encoder:  31 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6238790
Encoder:  31 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6246255
Encoder:  31 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6253720
Encoder:  31 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6261185
